,Raw,Txt,encoding
070320_뜨거운것이_좋아,,Y,utf-8
0920시나리오-제본용,,Y,utf-8
3807_우아한거짓말,,Y,utf-8
7급공무원,,Y,utf-8
B형남자친구,Y,,utf-8
FACE페이스,,Y,utf-8
M,Y,,utf-8
My Generation,,Y,utf-8
Thirst,Y,,utf-8
[시나리오] 박수칠 때 떠나라,,Y,utf-8
_BA_AF_BB_EA,Y,,utf-8
blue,,Y,utf-8
comingout_scenario_package,Y,,utf-8
crawl_meta,Y,,utf-8
crawl_meta,Y,,utf-8
gp506,Y,,utf-8
haru,,Y,utf-8
ing대본,,Y,utf-8
itemtext,Y,,utf-8
kukhwa,,Y,utf-8
pdf2txt-너의 결혼식,,Y,utf-8
raw해운대(최종),,Y,utf-8
swe,Y,,utf-8
가면,,Y,utf-8
가문의영광,,Y,utf-8
가비,Y,,utf-8
가을로,Y,,utf-8
가족,,Y,utf-8
가족의탄생_051021,,Y,utf-8
간신_시나리오,Y,Y,utf-8
감시자들_1,Y,,utf-8
감시자들_2,Y,,utf-8
강원도의_힘,Y,,utf-8
강철중,,Y,utf-8
거룩한계보,,Y,utf-8
거미숲,,Y,utf-8
거울속으로,,Y,utf-8
건축학개론,,Y,utf-8
검은사제들,Y,,utf-8
검은집,Y,,utf-8
고사,,Y,utf-8
고지전,,Y,utf-8
곡성,Y,Y,utf-8
공공의적 2,,Y,utf-8
과속스캔들,Y,,utf-8
광식이동생광태,,Y,utf-8
광해,,Y,utf-8
괴물,,Y,utf-8
교회누나-최종고2(제본용),,Y,utf-8
구타유발자들,Y,,utf-8
국가대표,,Y,utf-8
그때그사람들,Y,,utf-8
그림자살인_faye69,,Y,utf-8
그해여름,,Y,utf-8
극락도살인사건,,Y,utf-8
기다리다미쳐,Y,,utf-8
기담,Y,,utf-8
기막힌사내들,Y,,utf-8
꽃섬,Y,,utf-8
꽃잎,,Y,utf-8
꽃피는봄이오면(2004-02-09),,Y,utf-8
끝까지간다,,Y,utf-8
나의결혼원정기,,Y,utf-8
날보러와요_김광림작,,Y,utf-8
남극일기,,Y,utf-8
내 심장을 쏴라,,Y,utf-8
내_깡패같은_애인,,Y,utf-8
내마음의_풍금,Y,,utf-8
내사랑(가제),Y,,utf-8
내사랑마음이,Y,,utf-8
내생애가장아름다운일주일레이아웃편집본,Y,,utf-8
내생에최악의남자,Y,,utf-8
너는 내 운명,,Y,utf-8
너의 결혼식,Y,,utf-8
넘버3,,Y,utf-8
네멋대로해라,,Y,utf-8
녹음대본_교회누나1,Y,,utf-8
누가그녀와잤을까(06[1]14완고),,Y,utf-8
눈물[1],Y,,utf-8
눈에는_눈_이에는_이,,Y,utf-8
늑대소년,Y,,utf-8
다세포소녀,,Y,utf-8
다찌마와리,Y,,utf-8
"달콤,살벌한연인",,Y,utf-8
달콤한 인생,,Y,utf-8
댄서의순정6[1],,Y,utf-8
댄싱퀸_최종_시나리오,,Y,utf-8
더 킹,Y,,utf-8
더 테러 라이브,Y,,utf-8
더게임,Y,,utf-8
도가니,Y,,utf-8
도레미파솔라시도,,Y,utf-8
도마뱀_시나리오,,Y,utf-8
돼지가_우물에_빠진_날,Y,,utf-8
두뇌유희프로젝트 퍼즐,Y,,utf-8
라디오스타,,Y,utf-8
라이어,,Y,utf-8
러브토크,Y,,utf-8
령,,Y,utf-8
로드무비,,Y,utf-8
로망스파이날,Y,,utf-8
마더,,Y,utf-8
마린_보이,,Y,utf-8
마이파더,,Y,utf-8
마지막늑대,,Y,utf-8
마파도,,Y,utf-8
만남의광장(0813v)시나리오,,Y,utf-8
말죽거리 잔혹사,,Y,utf-8
맨발의 기봉이,,Y,utf-8
멋진하루,,Y,utf-8
무방비도시,Y,,utf-8
미나문방구,,Y,utf-8
미녀는 괴로워,,Y,utf-8
미스터소크라테스24,,Y,utf-8
미인도,,Y,utf-8
밀양,,Y,utf-8
밀정,,Y,utf-8
바람,,Y,utf-8
바람의전설_오발탄,,Y,utf-8
바르게살자0719,,Y,utf-8
바보,Y,,utf-8
박수칠때떠나라,,Y,utf-8
박쥐,,Y,utf-8
반창꼬,,Y,utf-8
반칙왕,Y,Y,utf-8
방과후옥상_시나리오,,Y,utf-8
범죄의재구성,Y,,utf-8
베를린 최종고(20120301),Y,,utf-8
베스트셀러,,Y,utf-8
변호인,Y,,utf-8
봄날은_간다_5고_(2월21일),,Y,utf-8
봉준호 _지리멸렬_,,Y,utf-8
부당거래,,Y,utf-8
부산행,,Y,utf-8
분홍신,,Y,utf-8
불어라봄바람,,Y,utf-8
뷰티인사이드,Y,,utf-8
뷰티풀썬데이,Y,,utf-8
브라보마이라이프,,Y,utf-8
비밀,,Y,utf-8
비스티보이즈,Y,,utf-8
비열한거리,Y,,utf-8
비열한거리,Y,,utf-8
빈집자막,,Y,utf-8
사랑,Y,,utf-8
사랑니,,Y,utf-8
사랑따윈 필요없어,,Y,utf-8
사랑을_놓치다,,Y,utf-8
사랑해말순씨,,Y,utf-8
사생결단,Y,,utf-8
새드무비,,Y,utf-8
색즉시공,,Y,utf-8
색즉시공_시나리오(4[1][1]8),Y,,utf-8
성난펭귄 19고 1011,,Y,utf-8
세븐데이즈,,Y,utf-8
"소년,_천국에_가다",,Y,utf-8
숨바꼭질,Y,,utf-8
쉬리,,Y,utf-8
슈퍼맨이였던사나이,Y,,utf-8
스승의은혜,Y,Y,utf-8
스카우트_시나리오,,Y,utf-8
스캔들,,Y,utf-8
슬픔보다 더 슬픈 이야기,Y,,utf-8
시,,Y,utf-8
시나리오합본_161001_우주,Y,,utf-8
식객,Y,,utf-8
신부수업시나리오,,Y,utf-8
신세계,,Y,utf-8
신의한수,,Y,utf-8
싸움,Y,,utf-8
써니,,Y,utf-8
아내가 결혼했다,Y,,utf-8
아내의_애인을_만나다,,Y,utf-8
아는여자-시나리오,,Y,utf-8
아라한,,Y,utf-8
아랑,Y,,utf-8
아름다운 시절,,Y,utf-8
아저씨,,Y,utf-8
아파트,,Y,utf-8
악마를보았다,,Y,utf-8
안녕UFO,,Y,utf-8
안녕형아[최종본],,Y,utf-8
애자,Y,,utf-8
애정결핍이 두 남자에게 미치는 영향,,Y,utf-8
앤티크,,Y,utf-8
야수[1],,Y,utf-8
약속,,Y,utf-8
어린신부-시나리오,Y,,utf-8
어린의뢰인_원작각본(배포용),,Y,utf-8
여교수의은밀한매력,Y,,utf-8
역도산,Y,,utf-8
연애의 온도,,Y,utf-8
연애의_목적,,Y,utf-8
열혈남아,,Y,utf-8
영어완전정복,,Y,utf-8
영화는영화다,,Y,utf-8
예의없는것들050609,,Y,utf-8
오구,Y,,utf-8
오래된정원,Y,,utf-8
오로라공주,,Y,utf-8
오직 그대만,,Y,utf-8
오해피데이-2003진행고수정,,Y,utf-8
올드보이,,Y,utf-8
와이키키_브라더스,Y,,utf-8
와일드카드,,Y,utf-8
완득이_시나리오(최종고),,Y,utf-8
왕의_남자,,Y,utf-8
외출,,Y,utf-8
우리동네,Y,Y,utf-8
우리들의일그러진영웅,,Y,utf-8
우리생애최고의순간,,Y,utf-8
우리에게내일은없다,Y,,utf-8
우묵배미의 사랑,,Y,utf-8
우아한세계,,Y,utf-8
위험한상견례,,Y,utf-8
유력한 용의자-0417 10,,Y,utf-8
은밀하게_위대하게,,Y,utf-8
음란서생,,Y,utf-8
의뢰인,,Y,utf-8
의형제(090719),,Y,utf-8
인사동스캔들,,Y,utf-8
작업의정석,,Y,utf-8
작전,Y,,utf-8
잠복근무,,Y,utf-8
전설의고향,,Y,utf-8
접속,,Y,utf-8
정혜20031210[1],,Y,utf-8
조용한세상,,Y,utf-8
좋은놈 나쁜놈 이상한놈,Y,,utf-8
좋지 아니한가,,Y,utf-8
주먹이 운다,Y,,utf-8
주홍글씨,,Y,utf-8
중천,,Y,utf-8
즐거운_인생,,Y,utf-8
질투는나의힘_최종,,Y,utf-8
짝패,Y,,utf-8
째째한로맨스,,Y,utf-8
창,,Y,utf-8
천하장사마돈나,,Y,utf-8
청연(靑燕),,Y,utf-8
청춘만화,,Y,utf-8
첼로-홍미주일가 살인사건,,Y,utf-8
초록,,Y,utf-8
초록 물고기,,Y,utf-8
최강로맨스,,Y,utf-8
추격자,,Y,utf-8
친절한 금자씨-시나리오,Y,Y,utf-8
친절한 금자씨-시나리오,Y,Y,utf-8
타짜,,Y,utf-8
태극기,,Y,utf-8
태양의후예 10회,,Y,utf-8
태풍,,Y,utf-8
택시운전사,Y,,utf-8
터널,Y,,utf-8
퇴마록시나리오,,Y,utf-8
트럭,Y,,utf-8
티끌모아_로맨스,Y,,utf-8
파랑주의보,,Y,utf-8
파송송계란탁,Y,,utf-8
파수꾼,,Y,utf-8
판도라,,Y,utf-8
편지,,Y,utf-8
폰,,Y,utf-8
품행제로,,Y,utf-8
플라스틱트리,,Y,utf-8
플라이대디,,Y,utf-8
피터팬의공식,Y,,utf-8
해변의여인,Y,,utf-8
해운대(최종),Y,,utf-8
해운대(최종),Y,,utf-8
해피에로크리스마스,,Y,utf-8
핸드폰,Y,,utf-8
행복,Y,,utf-8
허브,Y,,utf-8
헬로우고스트,,Y,utf-8
혈의 누,,Y,utf-8
호로비츠를위하여,,Y,utf-8
홍길동의_후예,,Y,utf-8
홍당무,Y,,utf-8
홍반장,Y,,utf-8
화이_2012_1122_final,,Y,utf-8
황해part1,Y,,utf-8
황해part2,Y,,utf-8
효자동,,Y,utf-8
blue.txt,,,cp949
haru.txt,,,cp949
쉬리.txt,,,cp949
